,id,title,summary,language,is_paid,price,learners_count,rating,reviews_count,url,skills,course_revenue,rating_sum
0,288622,Изучение Python  с нуля,"Базовый курс по языку программирования Python для начинающих. Вы узнаете, как установить Python, написать первую программу, освоите переменные, типы данных, условные операторы, циклы и функции. Курс содержит текстовые материалы, иллюстрации, примеры кода и задания для самоконтроля.",ru,0,0.0,1,,0,https://stepik.org/course/288622,{'Python'},0.0,0.0
1,288416,"Python deque: очереди, стеки и буферы","Курс про collections.deque в Python: двустороннюю очередь для быстрых операций с левым и правым краем. Разберём создание deque, FIFO-очереди, LIFO-стек, append, appendleft, pop, popleft, extendleft, maxlen, rotate, отличия от list, частые ошибки и практические задачи на очереди, буферы и алгоритмы.",ru,1,599.0,2,,0,https://stepik.org/course/288416,{'Python'},1198.0,0.0
2,288336,Python для начинающих.,"Практический курс Python для начинающих: 10 модулей с теорией и автоматическими задачами. Изучите переменные, циклы, списки, словари, функции, файлы, обработку ошибок. Финальный проект — консольный To-Do лист с сохранением данных. Подходит для полного нуля. Каждый урок сопровождается задачей для закрепления. Итоговый тест и сертификат.»",ru,0,0.0,1,,0,https://stepik.org/course/288336,{'Python'},0.0,0.0
3,288278,Java для Python-разработчика,"Курс знакомит опытных Python-разработчиков с языком Java через прямые сопоставления двух языков. Вы освоите статическую типизацию, классы и интерфейсы, сборку проектов и стандартную библиотеку JVM. По окончании сможете уверенно читать и писать промышленный код на современной Java (17+).",ru,0,0.0,6,,0,https://stepik.org/course/288278,"{'Python', 'Java'}",0.0,0.0
4,287941,Практикум по Python: от простых задач к алгоритмам,"О курсе

Курс предназначен для школьников и начинающих программистов, которые хотят изучить язык программирования Python через решение практических задач.",ru,0,0.0,2,,0,https://stepik.org/course/287941,{'Python'},0.0,0.0
5,287896,Статистика и анализ данных в футболе с Python,"Анализируем футбол через математику и Python: распределение Пуассона, xG-модели, сети передач, диаграммы Вороного. Реальные данные АПЛ — бесплатно.",ru,1,500.0,0,,0,https://stepik.org/course/287896,{'Python'},0.0,0.0
6,287579,QA в финтехе: API-тестирование и автоматизация на Python,"Единственный курс по QA для финтеха: API-тестирование, автотесты на Python+pytest, SQL, риск-ориентированное тестирование, CI/CD. Реальные кейсы торговых платформ и финансовых Сервисов. Выходишь с портфолио и резюме под финтех-вакансию.",ru,0,0.0,32,,0,https://stepik.org/course/287579,"{'SQL', 'Python'}",0.0,0.0
7,287568,Автоматизация браузера на Python ,"Курс «Автоматизация браузера на Python» поможет освоить управление веб-браузером с помощью популярных инструментов, таких как Selenium и Playwright. Вы научитесь автоматически открывать сайты, заполнять формы, выполнять клики, собирать данные и тестировать веб-приложения. Программа включает практические задания, работу с реальными сценариями и разбор типичных задач автоматизации, что позволит уверенно применять навыки в тестировании и веб-скрапинге.",ru,0,0.0,2,,0,https://stepik.org/course/287568,{'Python'},0.0,0.0
8,287542,Python&ROS: осваиваем робототехнику,"Хотите научиться программировать роботов, но не знаете, с чего начать?
Этот курс — мост между чистым Python и настоящей робототехникой на ROS.

Вместо скучных лекций — консольная черепашка, которой вы управляете кодом. Вместо дорогого железа — симулятор прямо в браузере. А ещё — симулятор работы по SSH, как у инженеров в промышленности.",ru,0,0.0,25,,0,https://stepik.org/course/287542,"{'Python', 'R'}",0.0,0.0
9,287415,Методы строк в Python: большой практический курс,"Путаете split() и join()?
Не понимаете, чем find() отличается от index()?
Никогда не слышали про str.maketrans() и translate()?

Тогда этот курс для вас!

Здесь не нужно зубрить методы.
Главное — понять, как они работают и когда их использовать на практике.",ru,0,0.0,150,,0,https://stepik.org/course/287415,{'Python'},0.0,0.0
